b'20140601000000'	18606.984	-2982.0391097128872	4489	4563	3175	432	832	148	13639
b'20140701000000'	18691.715	-2952.5796592198767	4492	4577	3181	446	835	149	13680
b'20140801000000'	18870.534	-3016.909094534717	4542	4550	3230	454	853	148	13777
b'20140901000000'	19005.814	-2969.160160760205	4532	4579	3258	457	852	152	13830
b'20141001000000'	19144.96	-2940.0326622347616	4535	4597	3285	461	870	149	13897
b'20141101000000'	19287.997	-2979.9117459546205	4578	4633	3302	466	875	154	14008
b'20141201000000'	19468.491	-2873.644455302458	4584	4659	3331	467	888	159	14088
b'20150101000000'	19643.073	-2748.4280148780467	4583	4695	3360	464	903	156	14161
b'20150201000000'	19783.966	-2663.013134602486	4576	4719	3381	463	920	158	14217
b'20150301000000'	19893.76	-2655.8238987067784	4595	4736	3399	458	932	159	14279
b'20150401000000'	20022.144	-2613.0873803643303	4596	4759	3414	461	941	162	14333
b'20150501000000'	20172.727	-2605.458561049566	4607	4778	3437	464	959	162	14407
b'20150601000000'	20310.483	-2543.5996137353204	4604	4805	3455	469	966	163	14462
b'20150701000000'	20470.472	-2489.064976987581	4608	4837	3461	468	990	166	14530
b'20150801000000'	20618.973	-2458.957040586713	4621	4876	3459	464	1015	167	14602
b'20150901000000'	20762.211	-2440.5939068712382	4632	4908	3478	459	1029	173	14679
b'20151001000000'	20875.644	-2392.953339086886	4628	4943	3482	463	1042	173	14731
b'20151101000000'	20986.322	-2415.4638871340258	4666	4956	3493	460	1059	177	14811
b'20151201000000'	21187.406	-2336.680867472095	4663	5013	3528	465	1067	180	14916
b'20160101000000'	21347.384	-2280.959667589875	4664	5024	3556	484	1075	178	14981
b'20160201000000'	21547.916	-2227.2495500677055	4671	5063	3570	501	1087	183	15075
b'20160301000000'	21698.524	-2175.9272300219473	4659	5135	3564	505	1107	179	15149
b'20160401000000'	21925.255	-2037.4642251364803	4666	5210	3566	499	1129	182	15252
b'20160501000000'	22019.422	-2009.3320888029327	4676	5229	3569	512	1133	184	15303
b'20160601000000'	22108.781	-1995.1426415240276	4687	5232	3594	517	1126	186	15342
b'20160701000000'	22189.736	-1986.0438267144716	4695	5243	3615	514	1138	182	15387
b'20160801000000'	22296.082	-1967.157031880503	4712	5250	3644	514	1146	180	15446
